ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,
10107,30,95.7,2,2871,
10121,34,81.35,5,2765.9,
10134,41,94.74,2,3884.34,
10145,45,83.26,6,3746.7,
10159,49,100,14,5205.27,
10168,36,96.66,1,3479.76,
10180,29,86.13,9,2497.77,
10188,48,100,1,5512.32,
10201,22,98.57,2,2168.54,
10211,41,100,14,4708.44,
10223,37,100,1,3965.66,
10237,23,100,7,2333.12,
10251,28,100,2,3188.64,
10263,34,100,2,3676.76,
10275,45,92.83,1,4177.35,
10285,36,100,6,4099.68,
10299,23,100,9,2597.39,
10309,41,100,5,4394.38,
10318,46,94.74,1,4358.04,
10329,42,100,1,4396.14,
10341,41,100,9,7737.93,
10361,20,72.55,13,1451,
10375,21,34.91,12,733.11,
10388,42,76.36,4,3207.12,
10403,24,100,7,2434.56,
10417,66,100,2,7516.08,
10103,26,100,11,5404.62,
10112,29,100,1,7209.11,
10126,38,100,11,7329.06,
10140,37,100,11,7374.1,
10150,45,100,8,10993.5,
10163,21,100,1,4860.24,
10174,34,100,4,8014.82,
10183,23,100,8,5372.57,
10194,42,100,11,7290.36,
10206,47,100,6,9064.89,
10215,35,100,3,6075.3,
10228,29,100,2,6463.23,
10245,34,100,9,6120.34,
10258,32,100,6,7680.64,
10270,21,100,9,4905.39,
10280,34,100,2,8014.82,
10291,37,100,11,7136.19,
10304,47,100,6,10172.7,
10312,48,100,3,11623.7,
10322,40,100,1,6000.4,
10333,26,100,3,3003,
10347,30,100,1,3944.7,
10357,32,100,10,5691.84,
10369,41,100,2,4514.92,
10381,36,100,3,8254.8,
10391,24,100,4,2416.56,
10411,23,100,9,4140.23,
10424,50,100,6,12001,
10107,39,99.91,5,3896.49,
10120,29,96.34,3,2793.86,
10134,27,100,5,3307.77,
10145,37,100,9,5192.95,
10159,37,100,17,5016.83,
10168,27,100,4,3660.93,
10180,42,100,12,4695.6,
10188,38,96.34,4,3660.92,
10201,24,100,5,3025.92,
10210,23,100,2,3009.09,
10223,47,100,4,5422.39,
10236,22,100,1,2852.08,
10251,44,100,5,5756.52,
10263,40,100,5,4472,
10275,22,100,4,2904.44,
10285,47,100,9,6484.59,
10298,39,96.34,1,3757.26,
10308,34,100,2,4043.96,
10318,45,100,4,5566.5,
10329,20,100,2,3176,
10339,40,68.92,4,2756.8,
10361,26,51.15,8,1329.9,
10374,39,100,5,5288.01,
10388,50,44.51,5,2225.5,
10402,45,100,1,5833.8,
10417,45,100,5,5887.35,
10107,27,100,4,6065.55,
10120,46,100,2,9264.86,
10134,31,100,4,7023.98,
10145,33,100,8,5176.38,
10159,22,100,16,4132.7,
10168,20,100,3,4183,
10180,41,100,11,8892.9,
10188,45,100,3,8714.7,
10201,49,100,4,8065.89,
10210,34,100,1,6123.4,
10223,49,100,3,9774.03,
10237,39,100,9,7023.9,
10251,43,100,4,7078.23,
10263,41,100,4,8336.94,
10275,36,100,3,6901.92,
10285,27,100,8,5438.07,
10299,29,100,11,6683.34,
10308,20,100,1,4570.4,
10318,37,100,3,7667.14,
10329,26,100,3,5868.2,
10339,39,76.67,3,2990.13,
10362,22,100,4,3664.1,
10374,22,100,1,3834.38,
10388,21,86.77,7,1822.17,
10403,66,100,9,11886.6,
10417,56,100,4,9218.16,
10105,50,100,2,7208,
10119,46,100,11,5004.8,
10129,33,100,2,4398.24,
10143,49,100,15,5597.76,
10155,32,100,13,4526.08,
10167,44,100,9,5924.16,
10178,24,100,12,3492.48,
10186,26,100,9,3854.24,
10197,45,100,6,5324.4,
10209,39,100,8,5197.92,
10222,49,100,12,5997.6,
10248,20,100,3,2910.4,
10261,27,100,1,3378.24,
10273,30,100,4,3508.8,
10283,25,100,6,2992,
10295,24,100,1,3427.2,
10307,22,100,9,2692.8,
10316,33,100,17,4128.96,
10325,47,64.93,6,3051.71,
10337,25,48.05,8,1201.25,
10350,26,75.47,5,1962.22,
10359,48,54.68,6,2624.64,
10373,39,100,3,4046.25,
10384,34,100,4,4846.7,
10395,32,100,2,3370.56,
10400,64,100,9,9661.44,
10414,19,100,3,2764.88,
10103,42,100,4,5398.26,
10114,31,100,8,4305.28,
10126,22,100,4,3347.74,
10140,26,100,4,3188.12,
10150,20,100,1,3191.2,
10164,21,100,2,3536.82,
10175,33,100,9,5362.83,
10183,28,100,1,3433.36,
10194,26,100,4,4263.74,
10207,31,100,15,4076.19,
10217,48,100,4,7020.48,
10229,50,100,9,6426.5,
10245,28,100,2,4591.72,
10259,26,100,12,4033.38,
10270,32,100,2,4302.08,
10281,44,100,9,7020.64,
10291,30,100,4,3855.9,
10305,38,100,13,6680.78,
10313,40,100,7,6678,
10322,46,61.99,8,2851.54,
10334,26,100,2,3188.12,
10347,27,100,2,4428,
10357,43,100,9,5780.92,
10370,35,65.63,4,2297.05,
10381,37,100,6,6231.54,
10391,37,46.9,7,1735.3,
10411,27,100,2,4427.73,
10425,38,100,12,5894.94,
10108,33,100,6,5265.15,
10122,42,100,10,7599.9,
10135,42,100,7,8008.56,
10147,48,100,7,9245.76,
10159,41,100,2,8296.35,
10169,30,100,2,5019.9,
10181,27,100,14,5411.07,
10191,21,100,3,3840.9,
10203,20,100,8,3930.4,
10211,41,100,2,7498.9,
10225,27,100,9,4517.91,
10238,28,100,3,5774.72,
10253,24,100,13,3922.56,
10266,44,100,14,9160.36,
10276,50,100,3,9631,
10287,21,100,12,3432.24,
10300,33,100,5,5521.89,
10310,33,100,10,6934.62,
10320,31,100,3,6876.11,
10329,41,71.47,5,2930.27,
10341,45,79.65,2,3584.25,
10363,33,85.39,3,2817.87,
10375,45,76,7,3420,
10389,26,99.04,4,2575.04,
10419,12,100,13,1961.28,
10105,41,100,15,8690.36,
10117,33,100,9,6034.38,
10127,46,100,2,11279.2,
10142,33,100,12,8023.29,
10153,20,100,11,4904,
10165,44,100,3,8594.52,
10176,33,100,2,7474.5,
10185,21,100,13,3883.74,
10196,47,100,5,8887.7,
10208,46,100,13,8602.92,
10220,32,100,2,7181.44,
10231,42,100,2,8378.58,
10247,44,100,2,10606.2,
10272,35,100,2,5818.4,
10282,41,100,5,7071.27,
10293,46,100,8,8411.56,
10306,31,100,13,6570.76,
10314,38,100,5,7975.44,
10325,42,64,8,2688,
10336,33,57.22,10,1888.26,
10348,48,52.36,8,2513.28,
10359,42,100,8,4764.48,
10371,32,100,6,3560.64,
10382,34,100,10,3823.64,
10395,33,69.12,1,2280.96,
10413,36,100,2,8677.8,
10103,27,100,8,3394.98,
10113,21,100,2,3415.44,
10126,21,100,8,2439.57,
10140,38,100,8,4829.8,
10150,30,100,5,4100.1,
10164,49,100,6,6563.06,
10174,43,100,1,6817.22,
10183,41,100,5,6163.94,
10194,38,100,8,4933.92,
10206,28,100,3,4056.36,
10216,43,100,1,5759.42,
10229,25,100,13,3451,
10245,38,100,6,5920.4,
10258,41,100,3,6668.24,
10270,28,100,6,4094.72,
10281,25,100,13,2938.5,
10291,41,100,8,6387.8,
10304,39,100,3,6396,
10313,21,100,11,2669.1,
10322,27,100,9,4784.13,
10333,33,99.21,6,3273.93,
10347,29,100,3,3586.43,
10357,49,100,8,5960.36,
10370,49,100,8,8470.14,
10381,20,100,1,2952,
10391,39,63.2,9,2464.8,
10411,40,100,6,6232,
10424,49,100,3,7969.36,
10107,21,100,1,3036.6,
10121,50,100,4,8284,
10134,20,100,1,2711.2,
10145,49,100,5,8339.8,
10159,38,100,13,6238.84,
10169,35,100,13,4639.25,
10180,40,100,8,6747.6,
10189,28,100,1,4512.48,
10201,25,100,1,4029,
10211,36,100,13,4771.8,
10224,43,100,6,6087.94,
10237,32,100,6,4193.28,
10251,46,100,1,7552.28,
10263,48,100,1,6434.4,
10276,43,100,14,5181.5,
10285,49,100,5,6863.92,
10299,24,100,8,4157.04,
10309,26,100,4,4660.24,
10319,30,100,9,4111.8,
10329,24,100,6,3542.64,
10341,55,100,8,8118.55,
10362,22,100,1,3877.06,
10375,49,78.92,13,3867.08,
10388,44,100,6,5951.44,
10403,66,100,6,8648.64,
10417,21,100,1,3447.78,
10104,34,100,1,5958.5,
10117,43,100,10,5911.64,
10127,46,100,3,7366.44,
